cell,n_informative,concept,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19
ninf3_gradual,3,0,-0.0022,0.0035,0.0014,0.0049,0.0099,-0.0053,0.0023,0.0035,-0.0018,-0.0019,0.0007,0.0005,0.478,-0.0039,0.0073,-0.0006,-0.0037,-0.0041,0.022,0.0038
ninf3_gradual,3,1,-0.0,-0.0115,-0.0044,0.001,0.0222,0.0033,-0.0064,0.0112,-0.0009,-0.0022,-0.0028,-0.0034,0.4313,0.0036,-0.009,0.0071,0.0095,0.0052,0.0924,-0.0128
ninf3_gradual,3,2,-0.0037,-0.0077,0.0022,-0.0098,0.0056,-0.0018,-0.0083,-0.0064,-0.0079,0.008,0.0044,0.0063,0.2406,0.0043,0.0016,-0.002,-0.0026,0.0084,0.241,0.007
ninf3_gradual,3,3,0.0069,-0.0118,0.0029,0.0021,0.0105,0.0119,-0.0032,-0.0069,-0.0077,-0.0047,-0.0094,0.0077,0.0923,-0.0028,0.0004,0.0075,0.0039,0.005,0.4072,0.0076
ninf3_gradual,3,4,0.0008,0.0021,0.0008,-0.0048,-0.0006,-0.0002,0.001,-0.0026,-0.0027,-0.0018,0.0005,-0.0009,0.0027,-0.0027,-0.0049,0.0017,0.0009,0.0029,0.4894,-0.0005
ninf3_gradual,3,5,0.0108,0.0137,-0.0001,0.007,0.0105,-0.0067,0.0021,0.0142,-0.0026,-0.0081,-0.0126,-0.0023,0.0035,-0.0068,-0.0006,0.0077,0.0002,-0.002,0.4182,0.001
ninf3_gradual,3,6,0.0046,0.0068,0.0032,-0.0023,0.0143,0.0066,-0.0053,-0.0052,0.0096,0.0017,0.0016,0.0011,0.0081,0.0013,0.003,0.0045,-0.0029,-0.0075,0.2495,0.0065
ninf3_gradual,3,7,-0.0067,0.0168,-0.0195,0.0118,0.0043,0.0141,0.0109,-0.002,-0.0048,-0.0053,0.0049,-0.0029,0.012,0.0097,0.0049,-0.0086,0.0004,0.0,0.0853,-0.0126
ninf3_gradual,3,8,0.0047,-0.0043,-0.001,0.0027,0.0011,0.002,-0.0009,-0.001,-0.0006,-0.0028,0.0049,0.003,0.0011,0.0003,0.0069,0.0019,0.0013,0.0068,0.0062,-0.0077
ninf3_gradual,3,9,0.0033,0.0132,0.0008,0.0086,-0.0066,-0.0016,-0.0113,-0.0019,-0.01,-0.0034,-0.0128,0.0051,0.0077,0.0021,0.0104,0.0096,-0.0012,0.0022,-0.0227,0.0025
ninf3_gradual,3,10,0.0017,-0.0081,-0.0039,-0.0,0.0033,-0.0018,0.0006,0.003,0.0059,-0.0066,0.0063,0.0073,0.0015,0.0154,0.0064,0.0007,0.0095,0.0071,0.0009,-0.0067
ninf3_gradual,3,11,0.0135,-0.0013,-0.0152,0.008,0.0001,0.006,0.0078,0.0012,0.0046,-0.0145,-0.0049,0.0027,-0.004,0.0028,0.0104,0.0095,-0.0056,0.004,0.0031,0.0058
ninf3_gradual,3,12,0.0023,-0.0001,0.0018,-0.0024,0.0035,0.0017,-0.0033,0.0049,-0.0019,0.0008,-0.0044,0.002,0.0005,-0.0021,-0.0002,-0.0025,0.0072,-0.0025,0.003,0.0048
ninf3_gradual,3,13,-0.0076,0.0043,0.0028,0.0074,-0.0009,-0.0056,-0.0013,-0.0048,-0.0043,0.0016,0.0041,0.0073,-0.0048,0.0052,-0.0095,0.0013,0.0032,-0.0054,0.0037,0.0021
ninf3_gradual,3,14,-0.0069,-0.0002,-0.0071,0.0019,0.0043,-0.0017,0.0034,0.0017,-0.0112,0.0049,0.0018,-0.0082,0.0,0.0081,-0.0039,0.0106,-0.0046,-0.0102,0.0111,0.0074
